RowType,RecordType,Field Name,Start,End,Length,Required,Pad Character,Justify,Default Value,Mapping Logic,Description,Type Indicator Position,Type Indicator Length,Type Indicator Value,Parent Record Type,Output Name
_CONFIG,Header,,,,,,,,,,,1,2,BH,,Headers
_CONFIG,Detail,,,,,,,,,,,1,2,PT,Header,Details
_CONFIG,Trailer,,,,,,,,,,,1,2,BT,Header,Trailers
_FIELD,Header,Transaction Code,1,2,2,Y, ,Left,BH,,B1 or BH - Batch Header,,,,,
_FIELD,Header,Company ID,3,6,4,Y,0,Right,,RemoveLeadingZeroes,FinanceDimension1 - Company number,,,,,
_FIELD,Header,Application Area,7,8,2,Y, ,Left,,,Source application area code (AP/AR/FE/TW etc),,,,,
_FIELD,Header,Batch Number,9,10,2,Y,0,Right,01,,Default 01,,,,,
_FIELD,Header,Data Type Code,11,11,1,N, ,Left,2,,Always 2,,,,,
_FIELD,Header,Batch Total,12,25,14,N,0,Right,0,,Batch total with GEAC overpunch. Will always amount to 0,,,,,
_FIELD,Header,Closed For Adjustment,26,26,1,N, ,Left,0,,Default 0,,,,,
_FIELD,Header,Effective Date,27,34,8,N,0,Left,,,MMDDYYYY format,,,,,
_FIELD,Detail,Transaction Code,1,2,2,Y, ,Left,PT,,PT - Detail/Transaction record,,,,,
_FIELD,Detail,Item,3,6,4,Y,0,Right,0000,,Default 0000,,,,,
_FIELD,Detail,Trans ID,7,7,1,N, ,Left,1,,Default 1,,,,,
_FIELD,Detail,DRCR Code,8,9,2,Y,0,Right,,RemoveLeadingZeroes,10=Debit 60=Credit. Used for amount sign computation,,,,,
_FIELD,Detail,Company ID,10,13,4,Y,0,Right,,RemoveLeadingZeroes,FinanceDimension1,,,,,
_FIELD,Detail,Account,26,31,6,Y,0,Right,,RemoveLeadingZeroes,AccountCode,,,,,
_FIELD,Detail,Mgmt Center,35,39,5,Y,0,Right,,RemoveLeadingZeroes,FinanceDimension3 - Management Centre,,,,,
_FIELD,Detail,Cost Center,40,43,4,N,0,Right,0000,RemoveLeadingZeroes,FinanceDimension4 - Cost Centre,,,,,
_FIELD,Detail,Source Code,44,47,4,Y,0,Right,,RemoveLeadingZeroes,JournalCode - Journal/source code,,,,,
_FIELD,Detail,Source Date,48,53,6,N,0,Left,,,MMDDYY format - TransactionDate,,,,,
_FIELD,Detail,Effective Date,54,61,8,N,0,Left,,,MMDDYYYY format - PostingDate,,,,,
_FIELD,Detail,Amount,62,74,13,Y,0,Right,0,,TransactionAmount with GEAC overpunch notation,,,,,
_FIELD,Detail,Description,75,129,55,N, ,Left,,,Transaction description,,,,,
_FIELD,Detail,Fund Serial,130,138,9,N,0,Right,,RemoveLeadingZeroes,Project - Fund and serial info for company 4000/5000/6000,,,,,
_FIELD,Trailer,Transaction Code,1,2,2,Y, ,Left,BT,,BT - Batch Trailer,,,,,
_FIELD,Trailer,Company ID,3,6,4,Y,0,Right,,RemoveLeadingZeroes,Company number,,,,,
_FIELD,Trailer,Application Area,7,8,2,N, ,Left,,,Source application area code,,,,,
_FIELD,Trailer,Batch Number,9,10,2,N,0,Right,01,,Default 01,,,,,
_FIELD,Trailer,Data Type Code,11,11,1,N, ,Left,2,,Always 2,,,,,
_FIELD,Trailer,Batch Total,12,25,14,N,0,Right,0,,Batch total - may not have overpunch character,,,,,
